Date,Open,High,Low,Close,Symbol,Volume
2025-10-01,1.17359,1.17789,1.17158,1.17328,EURUSD,
2025-10-02,1.17334,1.17583,1.16835,1.17181,EURUSD,
2025-10-03,1.17181,1.17588,1.17156,1.17413,EURUSD,
2025-10-06,1.17275,1.1731,1.16522,1.17097,EURUSD,
2025-10-07,1.17127,1.1715,1.16479,1.16576,EURUSD,
2025-10-08,1.16576,1.16612,1.15988,1.16291,EURUSD,
2025-10-09,1.163,1.16484,1.1543,1.15653,EURUSD,
2025-10-10,1.15646,1.163,1.15573,1.16128,EURUSD,
2025-10-13,1.16143,1.16299,1.15578,1.1572,EURUSD,
2025-10-14,1.15714,1.16149,1.15433,1.16082,EURUSD,
2025-10-15,1.16081,1.16479,1.16021,1.1644,EURUSD,
2025-10-16,1.16459,1.16941,1.16432,1.16885,EURUSD,
2025-10-17,1.1689,1.17281,1.16571,1.16708,EURUSD,
2025-10-20,1.16581,1.16757,1.16391,1.16449,EURUSD,
2025-10-21,1.16446,1.16553,1.15981,1.1605,EURUSD,
2025-10-22,1.16049,1.16225,1.15775,1.16128,EURUSD,
2025-10-23,1.16124,1.16202,1.15858,1.16178,EURUSD,
2025-10-24,1.16186,1.16476,1.16013,1.16318,EURUSD,
2025-10-27,1.16286,1.16522,1.16179,1.165,EURUSD,
2025-10-28,1.16503,1.16687,1.16258,1.16508,EURUSD,
2025-10-29,1.16506,1.16654,1.15781,1.16038,EURUSD,
2025-10-30,1.16039,1.16373,1.15472,1.15682,EURUSD,
2025-10-31,1.15683,1.15777,1.15217,1.15371,EURUSD,
2022-11-03,1.13868,1.14219,1.115,1.11644,GBPUSD,
2022-11-04,1.11656,1.13818,1.11515,1.13762,GBPUSD,
2022-11-07,1.13202,1.15417,1.1291,1.15115,GBPUSD,
2022-11-08,1.15116,1.15983,1.14306,1.15475,GBPUSD,
2022-11-09,1.15465,1.15669,1.13341,1.13579,GBPUSD,
2022-11-10,1.13581,1.17315,1.13541,1.17003,GBPUSD,
2022-11-11,1.17004,1.18547,1.16478,1.18445,GBPUSD,
2022-11-14,1.17803,1.18284,1.17112,1.17538,GBPUSD,
2022-11-15,1.17539,1.20235,1.17413,1.18638,GBPUSD,
2022-11-16,1.18641,1.19421,1.18318,1.19133,GBPUSD,
2022-11-17,1.19131,1.19577,1.17642,1.18649,GBPUSD,
2022-11-18,1.18641,1.19507,1.18584,1.18828,GBPUSD,
2022-11-21,1.18895,1.18959,1.17789,1.18222,GBPUSD,
2022-11-22,1.18204,1.19029,1.18192,1.18867,GBPUSD,
2022-11-23,1.1887,1.20804,1.1873,1.20526,GBPUSD,
2022-11-24,1.20532,1.21536,1.20532,1.21145,GBPUSD,
2022-11-25,1.21141,1.21274,1.20587,1.2098,GBPUSD,
2022-11-28,1.20682,1.21181,1.1941,1.19602,GBPUSD,
2022-11-29,1.1961,1.20642,1.19455,1.19527,GBPUSD,
2022-11-30,1.19527,1.20871,1.19009,1.206,GBPUSD,
2022-12-01,1.206,1.23027,1.206,1.22579,GBPUSD,
2022-12-02,1.22579,1.22999,1.2135,1.22816,GBPUSD,
2022-12-05,1.22822,1.23446,1.21619,1.2194,GBPUSD,
2022-12-06,1.21935,1.22672,1.21279,1.21316,GBPUSD,
2022-12-07,1.2131,1.22344,1.21069,1.22087,GBPUSD,
2022-12-08,1.22086,1.22473,1.21549,1.22329,GBPUSD,
2022-12-09,1.22331,1.23226,1.22121,1.22578,GBPUSD,
2022-12-12,1.22597,1.22989,1.22065,1.22648,GBPUSD,
2022-12-13,1.22648,1.2444,1.22484,1.23675,GBPUSD,
2022-12-14,1.23678,1.24457,1.23424,1.24281,GBPUSD,
2022-12-15,1.24279,1.24289,1.2157,1.21869,GBPUSD,
2022-12-16,1.21863,1.22232,1.21202,1.21611,GBPUSD,
2022-12-19,1.21611,1.22414,1.2121,1.21469,GBPUSD,
2022-12-20,1.21475,1.22233,1.2086,1.21842,GBPUSD,
2022-12-21,1.21848,1.21923,1.20554,1.20828,GBPUSD,
2022-12-22,1.20826,1.21462,1.19932,1.20383,GBPUSD,
2022-12-23,1.20367,1.20902,1.20188,1.20474,GBPUSD,
2022-12-27,1.20663,1.21121,1.20029,1.20294,GBPUSD,
2022-12-28,1.20293,1.21256,1.20025,1.20182,GBPUSD,
2022-12-29,1.20171,1.20785,1.20148,1.20552,GBPUSD,
2022-12-30,1.20548,1.21069,1.20106,1.2089,GBPUSD,
2023-01-02,1.20819,1.21032,1.20349,1.2049,GBPUSD,
2023-01-03,1.20489,1.20846,1.19008,1.19693,GBPUSD,
2023-01-04,1.19689,1.2087,1.19582,1.20604,GBPUSD,
2023-01-05,1.20617,1.20776,1.18739,1.19121,GBPUSD,
2023-01-06,1.19121,1.20995,1.18416,1.20954,GBPUSD,
2023-01-09,1.20894,1.22102,1.20888,1.21827,GBPUSD,
2023-01-10,1.21827,1.21976,1.21104,1.21483,GBPUSD,
2023-01-11,1.21484,1.21783,1.21007,1.21465,GBPUSD,
2023-01-12,1.21467,1.2247,1.20889,1.22154,GBPUSD,
2023-01-13,1.22164,1.22479,1.21508,1.22344,GBPUSD,
2023-01-16,1.22306,1.22891,1.21725,1.22002,GBPUSD,
2023-01-17,1.22011,1.22988,1.21696,1.22854,GBPUSD,
2023-01-18,1.22854,1.24358,1.22557,1.23469,GBPUSD,
2023-01-19,1.23471,1.23975,1.23134,1.23885,GBPUSD,
2023-01-20,1.23886,1.24044,1.23356,1.23944,GBPUSD,
2023-01-23,1.24031,1.2448,1.23239,1.23793,GBPUSD,
2023-01-24,1.23795,1.24137,1.22641,1.2334,GBPUSD,
2023-01-25,1.23349,1.24059,1.22839,1.24004,GBPUSD,
2023-01-26,1.24012,1.24304,1.23455,1.24079,GBPUSD,
